time,value
0.0,6441004.420658012
0.002,6436152.192956804
0.004,6431449.796158359
0.006,6424466.427227159
0.008,6416619.217644945
0.01,6408565.180570964
0.012,6400539.169014905
0.014,6392596.5827795
0.016,6384736.079092153
0.018000000000000002,6376946.717069273
0.020000000000000004,6369220.810943954
0.022000000000000006,6361554.871433902
0.024000000000000007,6353947.982014318
0.02600000000000001,6346400.391425752
0.02800000000000001,6338912.744196969
0.030000000000000013,6331485.756325573
0.032000000000000015,6324120.111950463
0.034000000000000016,6316816.445881645
0.03600000000000002,6309575.350476199
0.03800000000000002,6302397.385043585
0.04000000000000002,6295283.082487917
0.04200000000000002,6288232.953275945
0.044000000000000025,6281247.487798195
0.04600000000000003,6274327.157875864
0.04800000000000003,6267472.417877278
0.05000000000000003,6260683.705607267
0.05200000000000003,6253961.443067538
0.054000000000000034,6247306.037089458
0.056000000000000036,6240717.879847959
0.05800000000000004,6234197.34928687
0.06000000000000004,6227744.809431529
0.06200000000000004,6221360.610617946
0.06400000000000004,6215045.089652944
0.06600000000000004,6208798.569864778
0.06800000000000005,6202621.361107334
0.07000000000000005,6196513.759680815
0.07200000000000005,6190476.048174993
0.07400000000000005,6184508.49527116
0.07600000000000005,6178611.355459656
0.07800000000000006,6172784.8687031865
0.08000000000000006,6167029.260051394
0.08200000000000006,6161344.73919084
0.08400000000000006,6155731.499716293
0.08600000000000006,6150189.718133905
0.08800000000000006,6144719.552042138
0.09000000000000007,6139321.14331874
0.09200000000000007,6133994.615930314
0.09400000000000007,6128740.075299207
0.09600000000000007,6123557.606945847
0.09800000000000007,6118447.275666492
0.10000000000000007,6113409.124700538
0.10200000000000008,6108443.174855112
0.10400000000000008,6103549.423613192
0.10600000000000008,6098727.84423126
0.10800000000000008,6093978.38481579
0.11000000000000008,6089300.967384924
0.11200000000000009,6084695.486954159
0.11400000000000009,6080161.81059258
0.11600000000000009,6075699.776539845
0.11800000000000009,6071309.193308717
0.12000000000000009,6066989.83883907
0.1220000000000001,6062741.4596850965
0.1240000000000001,6058563.770241678
0.12600000000000008,6054456.452043392
0.12800000000000009,6050419.153113782
0.1300000000000001,6046451.487403696
0.1320000000000001,6042553.034288894
0.1340000000000001,6038723.338190652
0.1360000000000001,6034961.908264156
0.1380000000000001,6031268.218216291
0.1400000000000001,6027641.706222226
0.1420000000000001,6024081.774976232
0.1440000000000001,6020587.791845255
0.1460000000000001,6017159.089174939
0.1480000000000001,6013794.964714731
0.1500000000000001,6010494.682192779
0.1520000000000001,6007257.471995387
0.1540000000000001,6004082.53202393
0.1560000000000001,6000969.028663658
0.1580000000000001,5997916.097889266
0.16000000000000011,5994922.846483666
0.16200000000000012,5991988.353405152
0.16400000000000012,5989111.671255282
0.16600000000000012,5986291.827860505
0.16800000000000012,5983527.827946
0.17000000000000012,5980818.654906625
0.17200000000000013,5978163.272642018
0.17400000000000013,5975560.62749105
0.17600000000000013,5973009.650188493
0.17800000000000013,5970509.257871418
0.18000000000000013,5968058.356126558
0.18200000000000013,5965655.8410551855
0.18400000000000014,5963300.601325209
0.18600000000000014,5960991.520239881
0.18800000000000014,5958727.477763591
0.19000000000000014,5956507.352539168
0.19200000000000014,5954330.0238392465
0.19400000000000014,5952194.3734807465
0.19600000000000015,5950099.287678831
0.19800000000000015,5948043.658813096
0.20000000000000015,5946026.387133157
0.20200000000000015,5944046.3823808795
0.20400000000000015,5942102.565312748
0.20600000000000016,5940193.869135301
0.20800000000000016,5938319.240827592
0.21000000000000016,5936477.6423885
0.21200000000000016,5934668.051958348
0.21400000000000016,5932889.464861421
0.21600000000000016,5931140.894522263
0.21800000000000017,5929421.373242383
0.22000000000000017,5927729.952797653
0.22200000000000017,5926065.704475089
0.22400000000000017,5924427.72124228
0.22600000000000017,5922815.117512347
0.22800000000000017,5921227.029395861
0.23000000000000018,5919662.6149063585
0.23200000000000018,5918121.054141487
0.23400000000000018,5916601.549417207
0.23600000000000018,5915103.325309231
0.23800000000000018,5913625.628652553
0.24000000000000019,5912167.728464401
0.2420000000000002,5910728.915810226
0.2440000000000002,5909308.503636001
0.2460000000000002,5907905.826537774
0.2480000000000002,5906520.240488327
0.25000000000000017,5905151.122536803
0.25200000000000017,5903797.870475241
0.25400000000000017,5902459.902467256
0.25600000000000017,5901136.656666301
0.2580000000000002,5899827.590788777
0.2600000000000002,5898532.181692071
0.2620000000000002,5897249.924922634
0.2640000000000002,5895980.334266438
0.2660000000000002,5894722.941265113
0.2680000000000002,5893477.294742184
0.2700000000000002,5892242.960334292
0.2720000000000002,5891019.52000104
0.2740000000000002,5889806.571533539
0.2760000000000002,5888603.728081551
0.2780000000000002,5887410.617667331
0.2800000000000002,5886226.882716854
0.2820000000000002,5885052.179573287
0.2840000000000002,5883886.178040085
0.2860000000000002,5882728.560925303
0.2880000000000002,5881579.023582823
0.2900000000000002,5880437.2734716255
0.2920000000000002,5879303.029732635
0.2940000000000002,5878176.022750171
0.2960000000000002,5877055.993747517
0.2980000000000002,5875942.694379017
0.3000000000000002,5874835.88635466
0.3020000000000002,5873735.34103502
0.3040000000000002,5872640.839077109
0.3060000000000002,5871552.170061881
0.3080000000000002,5870469.1321631195
0.3100000000000002,5869391.53180277
0.3120000000000002,5868319.183316299
0.3140000000000002,5867251.908646668
0.3160000000000002,5866189.537041536
0.3180000000000002,5865131.904750535
0.32000000000000023,5864078.854750309
0.32200000000000023,5863030.236456057
0.32400000000000023,5861985.905482997
0.32600000000000023,5860945.723369067
0.32800000000000024,5859909.557337803
0.33000000000000024,5858877.280066039
0.33200000000000024,5857848.769458373
0.33400000000000024,5856823.908429593
0.33600000000000024,5855802.584695608
0.33800000000000024,5854784.690572697
0.34000000000000025,5853770.122777077
0.34200000000000025,5852758.782249247
0.34400000000000025,5851750.573969855
0.34600000000000025,5850745.406797843
0.34800000000000025,5849743.193307042
0.35000000000000026,5848743.849612847
0.35200000000000026,5847747.295239457
0.35400000000000026,5846753.452977211
0.35600000000000026,5845762.248734934
0.35800000000000026,5844773.6114073545
0.36000000000000026,5843787.47275032
0.36200000000000027,5842803.767260513
0.36400000000000027,5841822.432067646
0.36600000000000027,5840843.406806655
0.36800000000000027,5839866.633526795
0.3700000000000003,5838892.056574968
0.3720000000000003,5837919.622513639
0.3740000000000003,5836949.280019528
0.3760000000000003,5835980.979785568
0.3780000000000003,5835014.674451864
0.3800000000000003,5834050.318508897
0.3820000000000003,5833087.868226621
0.3840000000000003,5832127.281580338
0.3860000000000003,5831168.518178571
0.3880000000000003,5830211.539193605
0.3900000000000003,5829256.307287554
0.3920000000000003,5828302.786566118
0.3940000000000003,5827350.942494866
0.3960000000000003,5826400.741865913
0.3980000000000003,5825452.152727657
0.4000000000000003,5824505.144346291
0.4020000000000003,5823559.6871317
0.4040000000000003,5822615.752612574
0.4060000000000003,5821673.313368722
0.4080000000000003,5820732.343009739
0.4100000000000003,5819792.816117997
0.4120000000000003,5818854.708213958
0.4140000000000003,5817917.995710216
0.4160000000000003,5816982.655882729
0.4180000000000003,5816048.666835313
0.4200000000000003,5815116.007456843
0.4220000000000003,5814184.657389273
0.4240000000000003,5813254.597006111
0.4260000000000003,5812325.8073824905
0.4280000000000003,5811398.270257075
0.4300000000000003,5810471.968005137
0.43200000000000033,5809546.8836215725
0.43400000000000033,5808623.000695875
0.43600000000000033,5807700.303378496
0.43800000000000033,5806778.776358288
0.44000000000000034,5805858.404849777
0.44200000000000034,5804939.174564664
0.44400000000000034,5804021.071698589
0.44600000000000034,5803104.082904049
0.44800000000000034,5802188.195279423
0.45000000000000034,5801273.396343357
0.45200000000000035,5800359.674018155
0.45400000000000035,5799447.016622411
0.45600000000000035,5798535.412847476
0.45800000000000035,5797624.8517422285
0.46000000000000035,5796715.322707321
0.46200000000000035,5795806.815473356
0.46400000000000036,5794899.320094633
0.46600000000000036,5793992.82692876
0.46800000000000036,5793087.326624396
0.47000000000000036,5792182.8101186175
0.47200000000000036,5791279.268618043
0.47400000000000037,5790376.693587679
0.47600000000000037,5789475.076749353
0.47800000000000037,5788574.410063831
0.48000000000000037,5787674.685728471
0.4820000000000004,5786775.896152836
0.4840000000000004,5785878.033966455
0.4860000000000004,5784981.0920115635
0.4880000000000004,5784085.063317936
0.4900000000000004,5783189.941111133
0.4920000000000004,5782295.71879903
0.4940000000000004,5781402.389971142
0.4960000000000004,5780509.948383999
0.4980000000000004,5779618.387954064
0.5000000000000003,5778727.702752996
0.5020000000000003,5777837.887010133
0.5040000000000003,5776948.935098492
0.5060000000000003,5776060.8415282965
0.5080000000000003,5775173.600950306
0.5100000000000003,5774287.20814265
0.5120000000000003,5773401.658005402
0.5140000000000003,5772516.945557122
0.5160000000000003,5771633.065938726
0.5180000000000003,5770750.014401008
0.5200000000000004,5769867.786299375
0.5220000000000004,5768986.377098471
0.5240000000000004,5768105.782352879
